"","CVEGEO","ICE_Personal_2015.","ICE_Personal_2016A","ICE_Personal_2016B","ICE_Personal_2017A","ICE_Personal_2017B","ICE_Personal_2018A","ICE_Personal_2018B","ICE_Personal_2019A","ICE_Personal_2019B","ICE_Personal_2020A","ICE_Personal_2020B","ICE_Personal_2021A","ICE_Personal_2021B","ICE_Personal_2022A","ICE_Personal_2022B","ICE_Personal_2023B","ICE_Personal_2024A","ICE_Personal_2024B","ICE_Unidades_2015.","ICE_Unidades_2016A","ICE_Unidades_2016B","ICE_Unidades_2017A","ICE_Unidades_2017B","ICE_Unidades_2018A","ICE_Unidades_2018B","ICE_Unidades_2019A","ICE_Unidades_2019B","ICE_Unidades_2020A","ICE_Unidades_2020B","ICE_Unidades_2021A","ICE_Unidades_2021B","ICE_Unidades_2022A","ICE_Unidades_2022B","ICE_Unidades_2023B","ICE_Unidades_2024A","ICE_Unidades_2024B"
"1","1",0.834798167586214,0.829839859340934,0.830017494381435,0.896260663444006,0.903288705837685,0.911815772328759,0.849698242173007,0.829147631474384,0.845783872484868,1.00367818311782,0.839397772068283,0.860134506774905,0.872401183268332,0.872617808874514,0.865339259893411,0.880067381827644,0.901256040817993,0.821565212423515,1.00467268342361,1.01547658741883,1.04393926563664,1.06446472147037,1.05649473599742,1.04498927609451,1.04864419162746,1.01590891179709,0.828381614760263,0.856812172613576,0.823451538552764,0.85233901090949,0.844153223088994,0.846835326322224,0.829890336661967,0.812023401675569,0.806689498677362,0.772893266057391
"12","2",1.39794374950336,1.35189366300134,1.26519183852469,1.24509285643848,1.25393749702049,1.23409955462003,1.32996063419633,1.2824739677227,1.30313608140415,1.35398436491126,1.29319126954173,1.2649272820022,1.27170104824378,1.27498023337383,1.29096159558633,1.33195191771683,1.32342590356945,1.28347535228435,1.07118096347112,1.1125002980521,1.13568363999469,1.12842917551954,1.13454561428365,1.08043849146,1.16089678634916,1.12671263239972,1.12700564919992,1.11104516393954,1.11538696746166,1.10301626255829,1.11063646964751,1.11142905471504,1.10667837202059,1.09175015250707,1.10894174159188,1.13742081213906
"23","3",-0.236360981919894,-0.298496561325072,-0.373752965599258,-0.210176587846439,-0.28147061812548,-0.348441912310507,-0.328983987711347,-0.256089183701954,0.186618691903901,0.0371785384883777,0.246416606757063,0.23703714421985,0.255944918584506,0.282709070606297,0.20944304286002,0.284625761290629,0.277856579048336,0.0798595276021504,0.273177981617887,0.315717829936376,0.408568080200884,0.368346458363265,0.364188679232821,0.380519956304684,0.403719311263772,0.396437277883982,0.634692664321993,0.634433208797776,0.656755534610584,0.644269629757403,0.625445612274072,0.635925118100459,0.641412147694523,0.677080188525601,0.685462573926428,0.728568790100115
"27","4",-0.738347364116007,-0.751321886932173,-0.799361960387071,-0.630336541585014,-0.678316762133924,-0.744125401623444,-0.653870753086684,-0.759640419672754,-0.581625675336876,-0.615226599710938,-0.527873139576781,-0.520794359756327,-0.490757775697732,-0.482567828394553,-0.541734131865104,-0.562723935439193,-0.549306038087248,-0.632419618466103,-0.507361748248704,-0.432716736660473,-0.278875159648504,-0.365728586613894,-0.353264298376256,-0.32234357584644,-0.32204441458145,-0.320206993461498,0.0386142299649522,-0.0592104262174816,-0.0150444878856082,-0.0381978874811541,-0.0711670162219972,-0.0462699404584863,-0.0170728951282125,-0.0203790053181874,0.0117858416765952,0.10218200319535
"28","5",1.15310518143552,1.17638443125821,1.18480409343657,1.20832797125973,1.22344929778604,1.19702476169404,1.26567783927044,1.33822619820934,1.20729057709688,1.13861501353999,1.18033652199479,1.18976619891174,1.16686210179378,1.16873461465944,1.16952717830221,1.19751218549001,1.18259152299904,1.38246525925767,0.81759718280114,0.894132621222022,0.90459566139963,0.898760531098558,0.866163127467228,0.853258202582963,0.912664825243946,0.97202552872568,0.955727797461817,0.965466920389814,0.978118192621746,0.994130856409145,0.972478379800754,0.984165402496315,0.969412387701178,0.981195521440644,1.00852116024871,0.916652030464533
"29","6",-0.264912655510112,-0.474781078578629,-0.507394268906375,-0.4042415479529,-0.400293711826467,-0.369886578045256,-0.427453213631542,-0.388982690661598,0.086675896179852,-0.0712260007837054,-0.0601778513299547,-0.12653389216982,-0.133556849682432,-0.138267671861029,-0.0919418744049386,-0.0476565378288598,-0.04319302164071,-0.0811822336693123,0.0736748456586754,0.135336813193234,0.209310038265953,0.173926586964212,0.191539222914843,0.172971457582591,0.196892893479617,0.18552448423156,0.474160391386726,0.43959367435106,0.41302173089,0.385364260707008,0.408431357957163,0.407154933814436,0.395459012097896,0.412125343149695,0.415472767224104,0.578051946180225
"30","7",-1.68052035169558,-1.75300304666101,-1.76465914805787,-1.79214639404852,-1.76062338992201,-1.73876111526209,-1.75741205832854,-1.77822632227137,-1.80718293710431,-1.88661628693801,-1.84294207878702,-1.82404673253579,-1.85481579757073,-1.85609976173815,-1.87156727188197,-1.86860578881937,-1.86450533101833,-1.7904471654703,-1.70489391506334,-1.71997363081142,-1.64659566051231,-1.70184555264839,-1.73281226672959,-1.67360180312074,-1.69285601699729,-1.70623957314438,-1.6597868793858,-1.80743493408185,-1.69978677839183,-1.73895651542493,-1.78985660216198,-1.74967235560248,-1.74709206370257,-1.75447545974337,-1.74835677475348,-1.68418566554127
"31","8",1.12738284765639,0.959678792579589,0.976885820630257,1.02650552870688,1.00537858697616,0.966999155995682,1.02756083084076,1.02788628012613,1.1649721447049,1.04561860105218,1.04781131625694,1.05686368904737,1.05895157551779,1.05662059517207,1.09899169183127,1.14450384572532,1.14302186956304,1.18220467039114,0.65170785210258,0.71039810949607,0.767566424954386,0.756640597672837,0.778752378816949,0.769750179343021,0.799119384544143,0.810371546593809,0.902876726466431,0.909489142000053,0.936345829980495,0.960268449860896,0.953563562421444,0.95393604609177,0.940182974584282,0.928215759985031,0.934638314686063,0.969882293731242
"32","9",1.03321718970985,1.04929860720971,1.0916308591565,1.04708881044811,0.95459799647794,0.933631337268607,0.949314955501244,0.925703427966435,0.872802677334988,0.932420373190451,0.976415767214268,1.03205451280253,1.02332149182797,1.0288006571385,1.00614502449074,0.830344783873852,0.793007317918682,0.801979979327551,1.28606578079943,1.28396568895219,1.18576455438377,1.19443764164397,1.16753724233212,1.17539203478418,1.13923326130068,1.1053073461365,0.886439764469266,0.869605114168383,0.881250646196919,0.908340838066689,0.931735244339639,0.91743504368795,0.909420948621489,0.879919150199032,0.828465069623844,0.761183973462841
"2","10",0.0421985726106524,0.0399612841532807,0.055045194664844,0.0196694306350881,0.0381395921026849,0.0276916728994211,0.105205939552495,0.257376658851277,0.186881222572409,0.0724231524374305,0.135751905154785,0.169902890662766,0.162333209905981,0.15691094213367,0.173044412434301,0.165405970873462,0.157811830201363,0.144507308498554,0.0246629663441095,0.0333781060883772,0.0383133319840966,0.0629634300131844,0.0664045336481704,0.0922584348415992,0.0849363089190425,0.135136787798957,0.232364064783116,0.302882344625014,0.256932995680579,0.317746068590712,0.307517734374522,0.307088396029411,0.316306050681293,0.261554929712146,0.281175561593626,0.349758000178905
